"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"GROVER_RDKit"	" MolBERT"	"Precision_PPV"	"  MDR1"	"scaffold"	0.750587231522306	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"Precision_PPV"	"  MDR1"	"scaffold"	0.539510316799405	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_PPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_NPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_NPV"	"  MDR1"	"scaffold"	0.0162848089481173	"ranksums"	"<0.05"
"  RF"	"GROVER"	"Precision_NPV"	"  MDR1"	"scaffold"	0.00195267667393054	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"Precision_NPV"	"  MDR1"	"scaffold"	0.120574992260229	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"Precision_NPV"	"  MDR1"	"scaffold"	0.0162848089481173	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"Precision_NPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_NPV"	"  MDR1"	"scaffold"	0.43328979562189	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_NPV"	"  MDR1"	"scaffold"	0.242819024256211	"ranksums"	">=0.05"
"GROVER"	"  RF"	"Precision_NPV"	"  MDR1"	"scaffold"	0.00195267667393054	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"Precision_NPV"	"  MDR1"	"scaffold"	0.43328979562189	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"Precision_NPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_NPV"	"  MDR1"	"scaffold"	0.0484134994648136	"ranksums"	"<0.05"
"GROVER_RDKit"	"  RF"	"Precision_NPV"	"  MDR1"	"scaffold"	0.120574992260229	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_NPV"	"  MDR1"	"scaffold"	0.242819024256211	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"Precision_NPV"	"  MDR1"	"scaffold"	0.0484134994648136	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_NPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUROC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUROC"	" CYP2D6"	"scaffold"	0.459772646548566	"ranksums"	">=0.05"
"  RF"	"GROVER"	"AUROC"	" CYP2D6"	"scaffold"	0.267502703416054	"ranksums"	">=0.05"
"  RF"	"GROVER_RDKit"	"AUROC"	" CYP2D6"	"scaffold"	0.00926659428411612	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUROC"	" CYP2D6"	"scaffold"	0.459772646548566	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"AUROC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUROC"	" CYP2D6"	"scaffold"	0.107070270923822	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUROC"	" CYP2D6"	"scaffold"	0.00310763913573104	"ranksums"	"<0.05"
"GROVER"	"  RF"	"AUROC"	" CYP2D6"	"scaffold"	0.267502703416054	"ranksums"	">=0.05"
"GROVER"	" MolBERT"	"AUROC"	" CYP2D6"	"scaffold"	0.107070270923822	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUROC"	" CYP2D6"	"scaffold"	0.135377785323226	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUROC"	" CYP2D6"	"scaffold"	0.00926659428411612	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUROC"	" CYP2D6"	"scaffold"	0.00310763913573104	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER"	"AUROC"	" CYP2D6"	"scaffold"	0.135377785323226	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUROC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUPRC"	" CYP2D6"	"scaffold"	0.988204164940098	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUPRC"	" CYP2D6"	"scaffold"	0.383055045845856	"ranksums"	">=0.05"
"  RF"	"GROVER"	"AUPRC"	" CYP2D6"	"scaffold"	0.0413253615725104	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUPRC"	" CYP2D6"	"scaffold"	0.0384692450879587	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUPRC"	" CYP2D6"	"scaffold"	0.391170451997685	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"AUPRC"	" CYP2D6"	"scaffold"	0.976410907876082	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUPRC"	" CYP2D6"	"scaffold"	0.0863464464119469	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUPRC"	" CYP2D6"	"scaffold"	0.0564958741768037	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUPRC"	" CYP2D6"	"scaffold"	0.0428195073176977	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUPRC"	" CYP2D6"	"scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUPRC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUPRC"	" CYP2D6"	"scaffold"	0.813005287611997	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUPRC"	" CYP2D6"	"scaffold"	0.0398756113944135	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUPRC"	" CYP2D6"	"scaffold"	0.062485117816515	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUPRC"	" CYP2D6"	"scaffold"	0.859183914274438	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUPRC"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_PPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.778783968942289	"ranksums"	">=0.05"
"  RF"	"GROVER"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.155810161610851	"ranksums"	">=0.05"
"  RF"	"GROVER_RDKit"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.120574992260229	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.778783968942289	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"Precision_PPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.0475786020471988	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"GROVER"	"  RF"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.155810161610851	"ranksums"	">=0.05"
"GROVER"	" MolBERT"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.0475786020471988	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"Precision_PPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.870810804536042	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.120574992260229	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER"	"Precision_PPV"	" CYP2D6"	"scaffold"	0.870810804536042	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_PPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_NPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.988204164940098	"ranksums"	">=0.05"
"  RF"	"GROVER"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0877103774809814	"ranksums"	">=0.05"
"  RF"	"GROVER_RDKit"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.00333861225944254	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.988204164940098	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"Precision_NPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.185766856298216	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0066688764888895	"ranksums"	"<0.05"
"GROVER"	"  RF"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0877103774809814	"ranksums"	">=0.05"
"GROVER"	" MolBERT"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.185766856298216	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"Precision_NPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.00333861225944254	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0066688764888895	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER"	"Precision_NPV"	" CYP2D6"	"scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_NPV"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUROC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUROC"	" CYP3A4"	"scaffold"	0.0467558423927718	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUROC"	" CYP3A4"	"scaffold"	2.06342813021692e-05	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUROC"	" CYP3A4"	"scaffold"	0.0772719759293395	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"AUROC"	" CYP3A4"	"scaffold"	0.0467558423927718	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUROC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUROC"	" CYP3A4"	"scaffold"	0.00282233355835756	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"AUROC"	" CYP3A4"	"scaffold"	0.63087629216172	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUROC"	" CYP3A4"	"scaffold"	2.06342813021692e-05	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUROC"	" CYP3A4"	"scaffold"	0.00282233355835756	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"AUROC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUROC"	" CYP3A4"	"scaffold"	0.000556110978372401	"ranksums"	"<0.05"
"GROVER_RDKit"	"  RF"	"AUROC"	" CYP3A4"	"scaffold"	0.0772719759293395	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"AUROC"	" CYP3A4"	"scaffold"	0.63087629216172	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUROC"	" CYP3A4"	"scaffold"	0.000556110978372401	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUROC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUPRC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUPRC"	" CYP3A4"	"scaffold"	0.00205233387238041	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUPRC"	" CYP3A4"	"scaffold"	3.80208787227251e-08	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUPRC"	" CYP3A4"	"scaffold"	0.000300588837844831	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUPRC"	" CYP3A4"	"scaffold"	0.00205233387238041	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUPRC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUPRC"	" CYP3A4"	"scaffold"	9.8453100033373e-06	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"AUPRC"	" CYP3A4"	"scaffold"	0.652043622400636	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUPRC"	" CYP3A4"	"scaffold"	3.80208787227251e-08	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUPRC"	" CYP3A4"	"scaffold"	9.8453100033373e-06	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"AUPRC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUPRC"	" CYP3A4"	"scaffold"	1.80708780270684e-05	"ranksums"	"<0.05"
"GROVER_RDKit"	"  RF"	"AUPRC"	" CYP3A4"	"scaffold"	0.000300588837844831	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUPRC"	" CYP3A4"	"scaffold"	0.652043622400636	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUPRC"	" CYP3A4"	"scaffold"	1.80708780270684e-05	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUPRC"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_PPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.090490360906144	"ranksums"	">=0.05"
"  RF"	"GROVER"	"Precision_PPV"	" CYP3A4"	"scaffold"	3.44536113152082e-06	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.0492606674136038	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.090490360906144	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"Precision_PPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.00318295916165074	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.899995037236364	"ranksums"	">=0.05"
"GROVER"	"  RF"	"Precision_PPV"	" CYP3A4"	"scaffold"	3.44536113152082e-06	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.00318295916165074	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"Precision_PPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.000200581495782427	"ranksums"	"<0.05"
"GROVER_RDKit"	"  RF"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.0492606674136038	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.899995037236364	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"Precision_PPV"	" CYP3A4"	"scaffold"	0.000200581495782427	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_PPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_NPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.273934154452293	"ranksums"	">=0.05"
"  RF"	"GROVER"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.0443590716039318	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.579294210581981	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.273934154452293	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"Precision_NPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.228230066807424	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.56922016374153	"ranksums"	">=0.05"
"GROVER"	"  RF"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.0443590716039318	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.228230066807424	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"Precision_NPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.0574595460285453	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.579294210581981	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.56922016374153	"ranksums"	">=0.05"
