"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.233988916281058	"ranksums"	">=0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	0.222572896466565	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	" CYP2D6"	" Scaffold"	0.468797586246096	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	" CYP2D6"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	" CYP2D6"	" Scaffold"	0.801554937881844	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.976410907876082	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.459772646548566	"ranksums"	">=0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	0.554267836324318	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	" CYP2D6"	" Scaffold"	0.219782260816141	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	" CYP2D6"	" Scaffold"	0.801554937881844	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	" CYP2D6"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.988204164940098	"ranksums"	">=0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	0.564214705145786	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	" CYP2D6"	" Scaffold"	0.391170451997685	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	" CYP2D6"	" Scaffold"	0.976410907876082	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	" CYP2D6"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	" CYP2D6"	" Scaffold"	0.233988916281058	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	" CYP2D6"	" Scaffold"	0.459772646548566	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	" CYP2D6"	" Scaffold"	0.988204164940098	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.604838651327524	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	0.988204164940098	"ranksums"	">=0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	" CYP2D6"	" Scaffold"	0.222572896466565	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	" CYP2D6"	" Scaffold"	0.554267836324318	"ranksums"	">=0.05"
