"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"  MDR1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"  MDR1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.790147056174559	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.00147961889644207	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"  MDR1"	" Scaffold"	0.367136581248436	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"  MDR1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"  MDR1"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.399389395013695	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.000260456253335063	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"  MDR1"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"  MDR1"	" Scaffold"	0.280470477277229	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"  MDR1"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.117079846005044	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"  MDR1"	" Scaffold"	0.0219295475688353	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"  MDR1"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"  MDR1"	" Scaffold"	0.790147056174559	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"  MDR1"	" Scaffold"	0.399389395013695	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"  MDR1"	" Scaffold"	0.117079846005044	"ranksums"	">=0.05"
