"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	0.203564840611187	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.000927271862209823	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.416135847078279	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.355472472594311	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.000387782129570984	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.941072349139827	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	0.00496893443565361	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	0.355472472594311	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
