"metric_score"	"metric_name"	"mol_rep"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"
0.772082878953108	"AUROC"	"Graph"	"  MDR1"	"GROVER"	20	"Scaffold"	"cutoff6"
0.631614654002714	"AUROC"	"Graph"	"  MDR1"	"GROVER"	21	"Scaffold"	"cutoff6"
0.8	"AUROC"	"Graph"	"  MDR1"	"GROVER"	22	"Scaffold"	"cutoff6"
0.674418604651163	"AUROC"	"Graph"	"  MDR1"	"GROVER"	23	"Scaffold"	"cutoff6"
0.768353528153956	"AUROC"	"Graph"	"  MDR1"	"GROVER"	24	"Scaffold"	"cutoff6"
0.98	"AUROC"	"Graph"	"  MDR1"	"GROVER"	25	"Scaffold"	"cutoff6"
0.786974219810041	"AUROC"	"Graph"	"  MDR1"	"GROVER"	26	"Scaffold"	"cutoff6"
0.840579710144927	"AUROC"	"Graph"	"  MDR1"	"GROVER"	27	"Scaffold"	"cutoff6"
0.896325459317585	"AUROC"	"Graph"	"  MDR1"	"GROVER"	28	"Scaffold"	"cutoff6"
0.93734335839599	"AUROC"	"Graph"	"  MDR1"	"GROVER"	29	"Scaffold"	"cutoff6"
0.92	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	0	"Scaffold"	"cutoff6"
0.949291166848419	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	1	"Scaffold"	"cutoff6"
0.89280868385346	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	2	"Scaffold"	"cutoff6"
0.944444444444444	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	3	"Scaffold"	"cutoff6"
0.978	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	4	"Scaffold"	"cutoff6"
0.996894409937888	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	5	"Scaffold"	"cutoff6"
0.650234741784038	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	6	"Scaffold"	"cutoff6"
0.998329156223893	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	7	"Scaffold"	"cutoff6"
1	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	8	"Scaffold"	"cutoff6"
0.922857142857143	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	9	"Scaffold"	"cutoff6"
0.889598540145985	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	10	"Scaffold"	"cutoff6"
0.953032104637336	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	11	"Scaffold"	"cutoff6"
0.930656934306569	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	12	"Scaffold"	"cutoff6"
0.5	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	13	"Scaffold"	"cutoff6"
0.755221386800334	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	14	"Scaffold"	"cutoff6"
0.965116279069768	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	15	"Scaffold"	"cutoff6"
0.884976525821596	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	16	"Scaffold"	"cutoff6"
0.988888888888889	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	17	"Scaffold"	"cutoff6"
0.847744360902256	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	18	"Scaffold"	"cutoff6"
0.928187403993856	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	19	"Scaffold"	"cutoff6"
0.810796074154853	"AUROC"	"Graph"	"  MDR1"	"GROVER_RDKit"	20	"Scaffold"	"cutoff6"
