"metric_score"	"metric_name"	"mol_rep"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"
0.992592592592593	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff6"
0.985823336968375	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff6"
0.918249660786974	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff6"
0.994444444444444	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff6"
0.9934	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff6"
0.995859213250518	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff6"
0.954225352112676	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff6"
0.995196324143693	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff6"
1	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff6"
0.984155844155844	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff6"
0.989963503649635	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff6"
0.981123662306778	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff6"
0.825273722627737	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff6"
0.15625	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	13	"Scaffold"	"cutoff6"
0.824979114452799	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	14	"Scaffold"	"cutoff6"
0.945736434108527	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	15	"Scaffold"	"cutoff6"
0.90962441314554	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	16	"Scaffold"	"cutoff6"
0.996296296296296	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	17	"Scaffold"	"cutoff6"
0.99874686716792	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	18	"Scaffold"	"cutoff6"
0.992319508448541	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	19	"Scaffold"	"cutoff6"
0.944111232279171	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	20	"Scaffold"	"cutoff6"
0.899592944369064	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	21	"Scaffold"	"cutoff6"
0.781428571428571	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	22	"Scaffold"	"cutoff6"
1	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	23	"Scaffold"	"cutoff6"
0.903955808980755	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	24	"Scaffold"	"cutoff6"
0.996296296296296	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	25	"Scaffold"	"cutoff6"
1	"AUROC"	"1. MorganBits"	"  MDR1"	"RF"	26	"Scaffold"	"cutoff6"
