"metric_score"	"metric_name"	"mol_rep"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"
0.889880952380952	"AUROC"	"Graph"	" BACE"	"GROVER"	26	"random"	"benchmark"
0.777307963354475	"AUROC"	"Graph"	" BACE"	"GROVER"	27	"random"	"benchmark"
0.878326330532213	"AUROC"	"Graph"	" BACE"	"GROVER"	28	"random"	"benchmark"
0.824865614704352	"AUROC"	"Graph"	" BACE"	"GROVER"	29	"random"	"benchmark"
0.923253757736516	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	0	"random"	"benchmark"
0.880285412262157	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	1	"random"	"benchmark"
0.837174786100925	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	2	"random"	"benchmark"
0.859550561797753	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	3	"random"	"benchmark"
0.891129736336651	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	4	"random"	"benchmark"
0.847322212467076	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	5	"random"	"benchmark"
0.879891304347826	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	6	"random"	"benchmark"
0.852898019075569	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	7	"random"	"benchmark"
0.88780487804878	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	8	"random"	"benchmark"
0.838462876021562	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	9	"random"	"benchmark"
0.904674369747899	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	10	"random"	"benchmark"
0.877363445378151	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	11	"random"	"benchmark"
0.882107459572248	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	12	"random"	"benchmark"
0.895757259607025	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	13	"random"	"benchmark"
0.901768346595933	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	14	"random"	"benchmark"
0.836197916666667	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	15	"random"	"benchmark"
0.858281358281358	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	16	"random"	"benchmark"
0.848551360842845	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	17	"random"	"benchmark"
0.880637773079634	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	18	"random"	"benchmark"
0.852805397727273	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	19	"random"	"benchmark"
0.874369674839159	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	20	"random"	"benchmark"
0.928919860627178	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	21	"random"	"benchmark"
0.853770260747005	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	22	"random"	"benchmark"
0.862326388888889	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	23	"random"	"benchmark"
0.887108013937282	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	24	"random"	"benchmark"
0.921169966113786	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	25	"random"	"benchmark"
0.90484943977591	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	26	"random"	"benchmark"
0.895348837209302	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	27	"random"	"benchmark"
0.902135854341737	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	28	"random"	"benchmark"
0.844633258193168	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	29	"random"	"benchmark"
0.909814323607427	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	0	"random"	"benchmark"
0.849365750528541	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	1	"random"	"benchmark"
0.809324253535883	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	2	"random"	"benchmark"
0.844658462635991	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	3	"random"	"benchmark"
0.885454862929981	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	4	"random"	"benchmark"
0.81404741000878	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	5	"random"	"benchmark"
0.838224637681159	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	6	"random"	"benchmark"
0.823367571533382	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	7	"random"	"benchmark"
0.824216027874564	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	8	"random"	"benchmark"
0.828812380455573	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	9	"random"	"benchmark"
0.881827731092437	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	10	"random"	"benchmark"
0.865371148459384	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	11	"random"	"benchmark"
0.817249174056686	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	12	"random"	"benchmark"
0.873934967831681	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	13	"random"	"benchmark"
0.878337754199823	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	14	"random"	"benchmark"
0.803993055555556	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	15	"random"	"benchmark"
0.848579348579349	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	16	"random"	"benchmark"
0.795961369622476	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	17	"random"	"benchmark"
0.875968992248062	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	18	"random"	"benchmark"
0.818536931818182	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	19	"random"	"benchmark"
0.850982437836898	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	20	"random"	"benchmark"
0.889198606271777	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	21	"random"	"benchmark"
0.804175475687104	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	22	"random"	"benchmark"
0.825260416666667	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	23	"random"	"benchmark"
0.879094076655052	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	24	"random"	"benchmark"
0.895309434635277	"AUROC"	"  RDKit2D"	" BACE"	"   SVM"	25	"random"	"benchmark"
