"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"  MolBERT"	" RNN"	"AUROC"	"BACE"	"random"	6.5575086672954e-05	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"AUROC"	"BACE"	"random"	0.0166168789678207	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"AUROC"	"BACE"	"random"	0.307669013707975	"ranksums"	">=0.05"
"  MolBERT"	"  MolBERT"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"AUROC"	"BACE"	"random"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER"	"   RF"	"AUROC"	"BACE"	"random"	9.49730301429274e-05	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"AUROC"	"BACE"	"random"	0.0443590716039318	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"AUROC"	"BACE"	"random"	0.00172265702865928	"ranksums"	"<0.05"
"GROVER"	" RNN"	"AUROC"	"BACE"	"random"	0.198357566662579	"ranksums"	">=0.05"
"GROVER"	"GCN"	"AUROC"	"BACE"	"random"	0.824495751654771	"ranksums"	">=0.05"
"GROVER"	"GIN"	"AUROC"	"BACE"	"random"	0.0265777633650162	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"AUROC"	"BACE"	"random"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"AUROC"	"BBBP"	"random"	2.35415912841053e-05	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.0443590716039318	"ranksums"	"<0.05"
"   RF"	" RNN"	"AUROC"	"BBBP"	"random"	0.450845801273515	"ranksums"	">=0.05"
"   RF"	"GCN"	"AUROC"	"BBBP"	"random"	1.53366757204848e-07	"ranksums"	"<0.05"
"   RF"	"GIN"	"AUROC"	"BBBP"	"random"	4.26655443220908e-06	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"AUROC"	"BBBP"	"random"	5.43359149466734e-05	"ranksums"	"<0.05"
"   RF"	"GROVER"	"AUROC"	"BBBP"	"random"	0.000153824256411889	"ranksums"	"<0.05"
"   SVM"	"   RF"	"AUROC"	"BBBP"	"random"	2.35415912841053e-05	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.0159585842612662	"ranksums"	"<0.05"
"   SVM"	" RNN"	"AUROC"	"BBBP"	"random"	0.000433677833506189	"ranksums"	"<0.05"
"   SVM"	"GCN"	"AUROC"	"BBBP"	"random"	0.0210899464078764	"ranksums"	"<0.05"
"   SVM"	"GIN"	"AUROC"	"BBBP"	"random"	0.083669986917125	"ranksums"	">=0.05"
"   SVM"	"  MolBERT"	"AUROC"	"BBBP"	"random"	0.450845801273515	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"AUROC"	"BBBP"	"random"	0.383055045845856	"ranksums"	">=0.05"
"   XGBoost"	"   RF"	"AUROC"	"BBBP"	"random"	0.0443590716039318	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"AUROC"	"BBBP"	"random"	0.0159585842612662	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"AUROC"	"BBBP"	"random"	0.214276509861477	"ranksums"	">=0.05"
"   XGBoost"	"GCN"	"AUROC"	"BBBP"	"random"	8.93338459269216e-05	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"AUROC"	"BBBP"	"random"	0.000637346631295202	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"AUROC"	"BBBP"	"random"	0.0428195073176977	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"AUROC"	"BBBP"	"random"	0.0785186518194306	"ranksums"	">=0.05"
" RNN"	"   RF"	"AUROC"	"BBBP"	"random"	0.450845801273515	"ranksums"	">=0.05"
" RNN"	"   SVM"	"AUROC"	"BBBP"	"random"	0.000433677833506189	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.214276509861477	"ranksums"	">=0.05"
" RNN"	" RNN"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"AUROC"	"BBBP"	"random"	1.93032627898519e-06	"ranksums"	"<0.05"
" RNN"	"GIN"	"AUROC"	"BBBP"	"random"	2.51375383338081e-05	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"AUROC"	"BBBP"	"random"	0.00282233355835756	"ranksums"	"<0.05"
" RNN"	"GROVER"	"AUROC"	"BBBP"	"random"	0.00310763913573104	"ranksums"	"<0.05"
"GCN"	"   RF"	"AUROC"	"BBBP"	"random"	1.53366757204848e-07	"ranksums"	"<0.05"
"GCN"	"   SVM"	"AUROC"	"BBBP"	"random"	0.0210899464078764	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"AUROC"	"BBBP"	"random"	8.93338459269216e-05	"ranksums"	"<0.05"
"GCN"	" RNN"	"AUROC"	"BBBP"	"random"	1.93032627898519e-06	"ranksums"	"<0.05"
"GCN"	"GCN"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"AUROC"	"BBBP"	"random"	0.459772646548566	"ranksums"	">=0.05"
"GCN"	"  MolBERT"	"AUROC"	"BBBP"	"random"	0.00474542496004799	"ranksums"	"<0.05"
"GCN"	"GROVER"	"AUROC"	"BBBP"	"random"	0.00544473508216336	"ranksums"	"<0.05"
"GIN"	"   RF"	"AUROC"	"BBBP"	"random"	4.26655443220908e-06	"ranksums"	"<0.05"
"GIN"	"   SVM"	"AUROC"	"BBBP"	"random"	0.083669986917125	"ranksums"	">=0.05"
"GIN"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.000637346631295202	"ranksums"	"<0.05"
"GIN"	" RNN"	"AUROC"	"BBBP"	"random"	2.51375383338081e-05	"ranksums"	"<0.05"
"GIN"	"GCN"	"AUROC"	"BBBP"	"random"	0.459772646548566	"ranksums"	">=0.05"
"GIN"	"GIN"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"AUROC"	"BBBP"	"random"	0.0210899464078764	"ranksums"	"<0.05"
"GIN"	"GROVER"	"AUROC"	"BBBP"	"random"	0.0153233302434195	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"AUROC"	"BBBP"	"random"	5.43359149466734e-05	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"AUROC"	"BBBP"	"random"	0.450845801273515	"ranksums"	">=0.05"
"  MolBERT"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.0428195073176977	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"AUROC"	"BBBP"	"random"	0.00282233355835756	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"AUROC"	"BBBP"	"random"	0.00474542496004799	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"AUROC"	"BBBP"	"random"	0.0210899464078764	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"GROVER"	"   RF"	"AUROC"	"BBBP"	"random"	0.000153824256411889	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"AUROC"	"BBBP"	"random"	0.383055045845856	"ranksums"	">=0.05"
"GROVER"	"   XGBoost"	"AUROC"	"BBBP"	"random"	0.0785186518194306	"ranksums"	">=0.05"
"GROVER"	" RNN"	"AUROC"	"BBBP"	"random"	0.00310763913573104	"ranksums"	"<0.05"
"GROVER"	"GCN"	"AUROC"	"BBBP"	"random"	0.00544473508216336	"ranksums"	"<0.05"
"GROVER"	"GIN"	"AUROC"	"BBBP"	"random"	0.0153233302434195	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	"BBBP"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"AUROC"	"HIV"	"random"	1.02179673458755e-09	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"AUROC"	"HIV"	"random"	2.58323959882252e-06	"ranksums"	"<0.05"
"   RF"	" RNN"	"AUROC"	"HIV"	"random"	8.48722495644837e-10	"ranksums"	"<0.05"
"   RF"	"GCN"	"AUROC"	"HIV"	"random"	0.00067282950584858	"ranksums"	"<0.05"
"   RF"	"GIN"	"AUROC"	"HIV"	"random"	1.38250753184492e-05	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"AUROC"	"HIV"	"random"	0.024625161703711	"ranksums"	"<0.05"
"   RF"	"GROVER"	"AUROC"	"HIV"	"random"	1.69313483916145e-10	"ranksums"	"<0.05"
"   SVM"	"   RF"	"AUROC"	"HIV"	"random"	1.02179673458755e-09	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"AUROC"	"HIV"	"random"	0.0219295475688353	"ranksums"	"<0.05"
"   SVM"	" RNN"	"AUROC"	"HIV"	"random"	0.929315124914634	"ranksums"	">=0.05"
"   SVM"	"GCN"	"AUROC"	"HIV"	"random"	0.000128578162532981	"ranksums"	"<0.05"
"   SVM"	"GIN"	"AUROC"	"HIV"	"random"	0.00140590551147289	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"AUROC"	"HIV"	"random"	7.31597272595403e-07	"ranksums"	"<0.05"
"   SVM"	"GROVER"	"AUROC"	"HIV"	"random"	5.65702730771461e-06	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"AUROC"	"HIV"	"random"	2.58323959882252e-06	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"AUROC"	"HIV"	"random"	0.0219295475688353	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"AUROC"	"HIV"	"random"	0.0105365252586533	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"AUROC"	"HIV"	"random"	0.117079846005044	"ranksums"	">=0.05"
"   XGBoost"	"GIN"	"AUROC"	"HIV"	"random"	0.450845801273515	"ranksums"	">=0.05"
"   XGBoost"	"  MolBERT"	"AUROC"	"HIV"	"random"	0.00256114013221376	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"AUROC"	"HIV"	"random"	1.20441624662381e-07	"ranksums"	"<0.05"
" RNN"	"   RF"	"AUROC"	"HIV"	"random"	8.48722495644837e-10	"ranksums"	"<0.05"
" RNN"	"   SVM"	"AUROC"	"HIV"	"random"	0.929315124914634	"ranksums"	">=0.05"
" RNN"	"   XGBoost"	"AUROC"	"HIV"	"random"	0.0105365252586533	"ranksums"	"<0.05"
" RNN"	" RNN"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"AUROC"	"HIV"	"random"	0.000128578162532981	"ranksums"	"<0.05"
" RNN"	"GIN"	"AUROC"	"HIV"	"random"	0.000927271862209823	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"AUROC"	"HIV"	"random"	6.7798158073902e-07	"ranksums"	"<0.05"
" RNN"	"GROVER"	"AUROC"	"HIV"	"random"	2.77695857861341e-06	"ranksums"	"<0.05"
"GCN"	"   RF"	"AUROC"	"HIV"	"random"	0.00067282950584858	"ranksums"	"<0.05"
"GCN"	"   SVM"	"AUROC"	"HIV"	"random"	0.000128578162532981	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"AUROC"	"HIV"	"random"	0.117079846005044	"ranksums"	">=0.05"
"GCN"	" RNN"	"AUROC"	"HIV"	"random"	0.000128578162532981	"ranksums"	"<0.05"
"GCN"	"GCN"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"AUROC"	"HIV"	"random"	0.329177424678208	"ranksums"	">=0.05"
"GCN"	"  MolBERT"	"AUROC"	"HIV"	"random"	0.248834383978153	"ranksums"	">=0.05"
"GCN"	"GROVER"	"AUROC"	"HIV"	"random"	1.36901867984278e-08	"ranksums"	"<0.05"
"GIN"	"   RF"	"AUROC"	"HIV"	"random"	1.38250753184492e-05	"ranksums"	"<0.05"
"GIN"	"   SVM"	"AUROC"	"HIV"	"random"	0.00140590551147289	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"AUROC"	"HIV"	"random"	0.450845801273515	"ranksums"	">=0.05"
"GIN"	" RNN"	"AUROC"	"HIV"	"random"	0.000927271862209823	"ranksums"	"<0.05"
"GIN"	"GCN"	"AUROC"	"HIV"	"random"	0.329177424678208	"ranksums"	">=0.05"
"GIN"	"GIN"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"AUROC"	"HIV"	"random"	0.0227980810495788	"ranksums"	"<0.05"
"GIN"	"GROVER"	"AUROC"	"HIV"	"random"	6.80233745923454e-08	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"AUROC"	"HIV"	"random"	0.024625161703711	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"AUROC"	"HIV"	"random"	7.31597272595403e-07	"ranksums"	"<0.05"
"  MolBERT"	"   XGBoost"	"AUROC"	"HIV"	"random"	0.00256114013221376	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"AUROC"	"HIV"	"random"	6.7798158073902e-07	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"AUROC"	"HIV"	"random"	0.248834383978153	"ranksums"	">=0.05"
"  MolBERT"	"GIN"	"AUROC"	"HIV"	"random"	0.0227980810495788	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"AUROC"	"HIV"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"GROVER"	"   RF"	"AUROC"	"HIV"	"random"	1.69313483916145e-10	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"AUROC"	"HIV"	"random"	5.65702730771461e-06	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"AUROC"	"HIV"	"random"	1.20441624662381e-07	"ranksums"	"<0.05"
"GROVER"	" RNN"	"AUROC"	"HIV"	"random"	2.77695857861341e-06	"ranksums"	"<0.05"
"GROVER"	"GCN"	"AUROC"	"HIV"	"random"	1.36901867984278e-08	"ranksums"	"<0.05"
"GROVER"	"GIN"	"AUROC"	"HIV"	"random"	6.80233745923454e-08	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"AUROC"	"HIV"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"AUROC"	"HIV"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	"ESOL"	"random"	0.000571543124125569	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	"ESOL"	"random"	0.000833930330010351	"ranksums"	"<0.05"
"   RF"	" RNN"	"RMSE"	"ESOL"	"random"	1.12079149234622e-09	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	"ESOL"	"random"	0.00282233355835756	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	"ESOL"	"random"	0.000571543124125569	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	"ESOL"	"random"	3.13058210199886e-07	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	"ESOL"	"random"	0.00120459794325649	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"GROVER"	"RMSE"	"ESOL"	"random"	0.905849445866094	"ranksums"	">=0.05"
"   XGBoost"	"   RF"	"RMSE"	"ESOL"	"random"	0.000833930330010351	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"RMSE"	"ESOL"	"random"	3.13058210199886e-07	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	"ESOL"	"random"	8.56299390490084e-11	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	"ESOL"	"random"	9.89854166780288e-07	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	"ESOL"	"random"	1.12079149234622e-09	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	"ESOL"	"random"	0.00120459794325649	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	"ESOL"	"random"	8.56299390490084e-11	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	"ESOL"	"random"	3.50975769680847e-11	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	"ESOL"	"random"	5.77298630087336e-11	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	"ESOL"	"random"	0.0194944097069431	"ranksums"	"<0.05"
"GCN"	"   RF"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	"ESOL"	"random"	3.50975769680847e-11	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	"ESOL"	"random"	0.0114669679432952	"ranksums"	"<0.05"
"GCN"	"  MolBERT"	"RMSE"	"ESOL"	"random"	0.000749369214075594	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	"ESOL"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GIN"	"   SVM"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GIN"	" RNN"	"RMSE"	"ESOL"	"random"	5.77298630087336e-11	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	"ESOL"	"random"	0.0114669679432952	"ranksums"	"<0.05"
"GIN"	"GIN"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	"ESOL"	"random"	4.27528103192407e-07	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	"ESOL"	"random"	4.83886300051272e-10	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	"ESOL"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	"ESOL"	"random"	0.000749369214075594	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	"ESOL"	"random"	4.27528103192407e-07	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	"ESOL"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	"ESOL"	"random"	0.00282233355835756	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	"ESOL"	"random"	0.905849445866094	"ranksums"	">=0.05"
"GROVER"	"   XGBoost"	"RMSE"	"ESOL"	"random"	9.89854166780288e-07	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	"ESOL"	"random"	0.0194944097069431	"ranksums"	"<0.05"
"GROVER"	"GCN"	"RMSE"	"ESOL"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	"ESOL"	"random"	4.83886300051272e-10	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	"ESOL"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	"ESOL"	"random"	1	"ranksums"	">=0.05"
