"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"  MolBERT"	"   SVM"	"RMSE"	"  MDR1"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	"  MDR1"	"random"	3.70061293474096e-06	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	"  MDR1"	"random"	1.26579577283706e-10	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	"  MDR1"	"random"	4.28553928406064e-11	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	"  MDR1"	"random"	6.41463519308275e-10	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	"  MDR1"	"random"	2.7376658092235e-10	"ranksums"	"<0.05"
"GROVER"	"GCN"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	6.41463519308275e-10	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" CYP2D6"	"random"	1.53700451150974e-10	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	0.000879453706472618	"ranksums"	"<0.05"
"   RF"	" RNN"	"RMSE"	" CYP2D6"	"random"	3.17521724866798e-11	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	" CYP2D6"	"random"	0.733825061212641	"ranksums"	">=0.05"
