"mean_metric_score"	"std_metric_score"	"split_type"	"mol_rep"	"mol_prop"	"model_name"	"metric_name"	"desc_name"	"size"
20.1638103963174	1.97136407296088	"scaffold"	"Fixed-3. AtomPairs"	"mw_size600_desc"	"   RF"	"RMSE"	"MolWt"	600
28.9438982857113	3.02814009076668	"scaffold"	"Fixed-1. MorganBits"	"mw_size600_desc"	"   SVM"	"RMSE"	"MolWt"	600
24.9192844539957	3.45896993135405	"scaffold"	"Fixed-2. MACCS"	"mw_size600_desc"	"   SVM"	"RMSE"	"MolWt"	600
16.0582186227631	2.32647144789506	"scaffold"	"Fixed-3. AtomPairs"	"mw_size600_desc"	"   SVM"	"RMSE"	"MolWt"	600
24.9109281747652	2.19706558961058	"scaffold"	"Fixed-1. MorganBits"	"mw_size600_desc"	"   XGBoost"	"RMSE"	"MolWt"	600
22.8023252335383	2.14097846856006	"scaffold"	"Fixed-2. MACCS"	"mw_size600_desc"	"   XGBoost"	"RMSE"	"MolWt"	600
18.8511419254433	2.2361570226877	"scaffold"	"Fixed-3. AtomPairs"	"mw_size600_desc"	"   XGBoost"	"RMSE"	"MolWt"	600
24.0689402116733	7.81176829353517	"scaffold"	"Learned-1. SMILES"	"mw_size600_desc"	"  RNN"	"RMSE"	"MolWt"	600
86.5870229970485	34.2482672204547	"scaffold"	"Learned-2. Graph"	"mw_size600_desc"	"GCN"	"RMSE"	"MolWt"	600
64.9852445984213	23.28559722204	"scaffold"	"Learned-2. Graph"	"mw_size600_desc"	"GIN"	"RMSE"	"MolWt"	600
24.8164148115851	2.59964197354258	"scaffold"	"Learned-2. Graph"	"mw_size600_desc"	"GROVER"	"RMSE"	"MolWt"	600
305.266638556837	3.74443540624198	"scaffold"	"Learned-1. SMILES"	"mw_size600_desc"	" MolBERT"	"RMSE"	"MolWt"	600
24.4156812349206	1.85833754038306	"scaffold"	"Fixed-1. MorganBits"	"mw_size800_desc"	"   RF"	"RMSE"	"MolWt"	800
22.8908613711425	1.52817912982794	"scaffold"	"Fixed-2. MACCS"	"mw_size800_desc"	"   RF"	"RMSE"	"MolWt"	800
20.0236591004836	1.33264376446188	"scaffold"	"Fixed-3. AtomPairs"	"mw_size800_desc"	"   RF"	"RMSE"	"MolWt"	800
27.7763517822647	2.19559614239122	"scaffold"	"Fixed-1. MorganBits"	"mw_size800_desc"	"   SVM"	"RMSE"	"MolWt"	800
24.5791351722646	3.12973584785607	"scaffold"	"Fixed-2. MACCS"	"mw_size800_desc"	"   SVM"	"RMSE"	"MolWt"	800
13.2627860607615	1.62764324774323	"scaffold"	"Fixed-3. AtomPairs"	"mw_size800_desc"	"   SVM"	"RMSE"	"MolWt"	800
25.2231591673471	1.73721979731278	"scaffold"	"Fixed-1. MorganBits"	"mw_size800_desc"	"   XGBoost"	"RMSE"	"MolWt"	800
22.1471805221193	1.58773208902585	"scaffold"	"Fixed-2. MACCS"	"mw_size800_desc"	"   XGBoost"	"RMSE"	"MolWt"	800
18.4104720631937	1.34374300132686	"scaffold"	"Fixed-3. AtomPairs"	"mw_size800_desc"	"   XGBoost"	"RMSE"	"MolWt"	800
19.122690013572	3.64141069631814	"scaffold"	"Learned-1. SMILES"	"mw_size800_desc"	"  RNN"	"RMSE"	"MolWt"	800
50.8408845222341	27.0802441720531	"scaffold"	"Learned-2. Graph"	"mw_size800_desc"	"GCN"	"RMSE"	"MolWt"	800
70.1725816265305	22.0027895657356	"scaffold"	"Learned-2. Graph"	"mw_size800_desc"	"GIN"	"RMSE"	"MolWt"	800
24.8976036317746	2.79636453179475	"scaffold"	"Learned-2. Graph"	"mw_size800_desc"	"GROVER"	"RMSE"	"MolWt"	800
303.161811762832	2.75715866530231	"scaffold"	"Learned-1. SMILES"	"mw_size800_desc"	" MolBERT"	"RMSE"	"MolWt"	800
24.0035664375113	1.61551866599379	"scaffold"	"Fixed-1. MorganBits"	"mw_size1000_desc"	"   RF"	"RMSE"	"MolWt"	1000
22.1002184944374	1.44508280973987	"scaffold"	"Fixed-2. MACCS"	"mw_size1000_desc"	"   RF"	"RMSE"	"MolWt"	1000
19.7253192838659	1.00784431249978	"scaffold"	"Fixed-3. AtomPairs"	"mw_size1000_desc"	"   RF"	"RMSE"	"MolWt"	1000
26.4549525721996	1.95723218992628	"scaffold"	"Fixed-1. MorganBits"	"mw_size1000_desc"	"   SVM"	"RMSE"	"MolWt"	1000
22.6471509678726	2.05002286266232	"scaffold"	"Fixed-2. MACCS"	"mw_size1000_desc"	"   SVM"	"RMSE"	"MolWt"	1000
12.0208943148219	1.41936088099177	"scaffold"	"Fixed-3. AtomPairs"	"mw_size1000_desc"	"   SVM"	"RMSE"	"MolWt"	1000
