"mean_metric_score"	"std_metric_score"	"split_type"	"mol_prop"	"model_name"	"radius"	"nbit"	"metric_name"
0.772054366482636	0.0583220545777913	"scaffold"	"DOR"	"RF"	"Radius: 2"	"NumBits: 2048"	"Pearson_R"
2.04224868408089	0.188397707581078	"scaffold"	"KOR"	"RF"	"Radius: 2"	"NumBits: 2048"	"  RMSE"
1.53183860458801	0.138492693810131	"scaffold"	"KOR"	"RF"	"Radius: 2"	"NumBits: 2048"	" MAE"
0.591829592975782	0.0693684556321629	"scaffold"	"KOR"	"RF"	"Radius: 2"	"NumBits: 2048"	" R2"
0.774426219657911	0.0436735567078314	"scaffold"	"KOR"	"RF"	"Radius: 2"	"NumBits: 2048"	"Pearson_R"
1.77800012795945	0.239211773007685	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.30878587857437	0.169571159872349	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.697350677401733	0.139691846223374	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
0.835262039174387	0.0871928331417117	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
1.69436186154263	0.14434717199612	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.28277835568996	0.0894955127772751	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.262875435213037	0.0590392070846119	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
0.523701606518086	0.0614732332340036	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
1.59664724595406	0.198767729377386	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.1716965137783	0.136578055042612	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.396525002331014	0.116324552502046	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
0.641799802717238	0.0778345409322661	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
1.99189351722342	0.234982447741167	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.45652052620398	0.169796698930717	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.541035522288639	0.0993839073480554	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
0.740979339519792	0.0660290778376019	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
1.93919461731152	0.186558166874591	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.44534513154562	0.163784958100478	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.588389054790708	0.0804505281363613	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
0.773147219560574	0.0525607972336054	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
2.09418209663673	0.191531494508592	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"  RMSE"
1.59010349621353	0.145288161760341	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" MAE"
0.571077901576777	0.0713310382817622	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 1024"	" R2"
