"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.RMSE"	"std_metric_score.RMSE"	"mean_metric_score.MAE"	"std_metric_score.MAE"	"mean_metric_score.R2"	"std_metric_score.R2"	"mean_metric_score.Pearson_R"	"std_metric_score.Pearson_R"
"Scaffold"	"1. MorganBits"	"  MDR1"	"RF"	1.81757606166105	0.322142077336772	1.31975453556189	0.212491536073597	0.684374475397608	0.159460202015558	0.827754341806623	0.104074941137811
"Scaffold"	"2. MorganCounts"	"  MDR1"	"RF"	1.74590356075038	0.353157966942646	1.25663835296874	0.243176493549939	0.706364206251018	0.161143060392877	0.842635581687964	0.0986471083179843
"Scaffold"	"3. MACCS"	"  MDR1"	"RF"	1.90717011172361	0.267825073304492	1.40051381097889	0.17563006589965	0.648573417914147	0.167298505633006	0.810219948865667	0.100793309170976
"Scaffold"	"0. RDKit Descriptors"	"  MDR1"	"RF"	1.78494449242913	0.279067091148148	1.30100190842213	0.217992756758337	0.696029108893543	0.139687164953142	0.840175192710548	0.0827351194618284
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"RF"	2.12087384751833	0.364497060282102	1.51186852859199	0.258059286811718	0.581216394756935	0.180593122247741	0.773013202351844	0.107402638875753
"Scaffold"	"4. AtomPairs"	"  MDR1"	"RF"	1.75207398529265	0.2982099660934	1.29967088907453	0.215289954065294	0.705490882395808	0.153561976223038	0.842500705489331	0.0944437538692072
"Scaffold"	"1. MorganBits"	"  MDR1"	"SVM"	2.23085147636511	0.29787604552986	1.69833458052639	0.235739721408108	0.520144063835384	0.258689871079985	0.764541920859356	0.13973448605745
"Scaffold"	"2. MorganCounts"	"  MDR1"	"SVM"	2.22328324755994	0.270461380816092	1.68250159615452	0.210076490437845	0.516660883310151	0.272609887807937	0.766067149098175	0.137449586913986
"Scaffold"	"3. MACCS"	"  MDR1"	"SVM"	2.34965701586702	0.272834000942951	1.81616262490241	0.212763545580168	0.454580981561109	0.285719272484972	0.720143387773123	0.144857966274236
"Scaffold"	"0. RDKit Descriptors"	"  MDR1"	"SVM"	2.00918461675375	0.28841943333331	1.49697481983706	0.236432991121685	0.604761456965913	0.218080372804551	0.801757233369612	0.102664296647922
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"SVM"	4.20889266375419	1.39338802046714	3.36589636935318	1.3004364289319	-0.815244150801603	1.9174651379881	0.403750654938975	0.138395364964714
"Scaffold"	"4. AtomPairs"	"  MDR1"	"SVM"	3.69090562525783	0.985316055622524	2.5063412814566	0.479098684023013	-0.499901240730023	1.34997946240483	0.600740212260788	0.175548286441292
