"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.AUROC"	"std_metric_score.AUROC"	"mean_metric_score.AUPRC"	"std_metric_score.AUPRC"	"mean_metric_score.Precision_PPV"	"std_metric_score.Precision_PPV"	"mean_metric_score.Precision_NPV"	"std_metric_score.Precision_NPV"
"Scaffold"	"1. MorganBits"	"  MDR1"	"RF"	0.927562629360465	0.157090046540353	0.831098311828829	0.21815433811549	0.704945240158467	0.322234356684471	0.984604350905955	0.0091907571117188
"Scaffold"	"2. MorganCounts"	"  MDR1"	"RF"	0.94821380431531	0.117527818663006	0.829080276319386	0.216063970786968	0.714056898267425	0.303725599704465	0.986423149837425	0.006777003179111
"Scaffold"	"3. MACCS"	"  MDR1"	"RF"	0.913374470372458	0.166501094590347	0.806543469916165	0.220334551925504	0.692525117324784	0.323198429278317	0.979340983790516	0.0197278983219553
"Scaffold"	"0. RDKit Descriptors"	"  MDR1"	"RF"	0.936596796174329	0.152701936458739	0.819624643314722	0.223855347889322	0.664296847334639	0.331466588456345	0.984725535955965	0.0119253379864696
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"RF"	0.898153755281113	0.138848524936664	0.715513015288304	0.240366849259318	0.514695063304608	0.304626955842546	0.976391597848111	0.0202334067157805
"Scaffold"	"4. AtomPairs"	"  MDR1"	"RF"	0.946258795726994	0.09031220221589	0.822356553520061	0.220706861194506	0.757585318448321	0.321095303600071	0.981976106058423	0.0181541429930382
"Scaffold"	"1. MorganBits"	"  MDR1"	"SVM"	0.935849116653802	0.103066942777492	0.804885985078436	0.223304617457457	0.646301338765331	0.30808553344485	0.986388845498684	0.0073117561817146
"Scaffold"	"2. MorganCounts"	"  MDR1"	"SVM"	0.920245063709159	0.137473521216671	0.778495252845661	0.230552980082466	0.59713734830928	0.308791008097578	0.983475355753773	0.010670738571764
"Scaffold"	"3. MACCS"	"  MDR1"	"SVM"	0.91883694780064	0.132147626369801	0.741021716982636	0.227680478259656	0.63735200610625	0.296885529138778	0.983614703383957	0.0109109316294322
"Scaffold"	"0. RDKit Descriptors"	"  MDR1"	"SVM"	0.945045486432443	0.0854085975730135	0.801963809300581	0.223301232368666	0.665424721518235	0.326738160898434	0.984913657881044	0.0088357269100802
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"SVM"	0.83272586230643	0.12772747604464	0.580187076441384	0.224155891298481	0.487552370695167	0.313554594998481	0.965922677079713	0.0225153690205335
"Scaffold"	"4. AtomPairs"	"  MDR1"	"SVM"	0.92468624510942	0.109764877827728	0.733772833013666	0.234516219274351	0.550010887626391	0.26963863325196	0.982584397302836	0.0135736258602241
"Scaffold"	"1. MorganBits"	"  MDR1"	"XGBoost"	0.906611743000759	0.163177966393813	0.802735836387087	0.225017551762592	0.756953008261104	0.261870651874114	0.981914317670331	0.0164363018841173
"Scaffold"	"2. MorganCounts"	"  MDR1"	"XGBoost"	0.944912047800194	0.109185345391781	0.808643936479501	0.227470360113967	0.671399007576412	0.296514272485339	0.985065574479195	0.0149083822380176
"Scaffold"	"3. MACCS"	"  MDR1"	"XGBoost"	0.941286640084462	0.0894571784860908	0.783711443182882	0.220093603979927	0.643994862227689	0.318886772243642	0.983747206436054	0.0100765632302006
"Scaffold"	"0. RDKit Descriptors"	"  MDR1"	"XGBoost"	0.929458637405716	0.113754627182273	0.784788013766849	0.240104743178766	0.598593414329348	0.327199717754882	0.985879514243313	0.0072353829043205
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"XGBoost"	0.881853476603724	0.13742668544201	0.693032702629227	0.23985117298767	0.533265100805189	0.293504420241915	0.977400250544311	0.0134198550327732
"Scaffold"	"4. AtomPairs"	"  MDR1"	"XGBoost"	0.944741354267122	0.0787973068104745	0.789941401208067	0.224990501913916	0.628916386636717	0.325254786470758	0.98454192887821	0.0149539873701698
"Scaffold"	"1. MorganBits"	" CYP2D6"	"RF"	0.52011271223434	0.474157593242368	0.246648537945468	0.248851162516075	0.0674092088078482	0.188665469091989	0.988431296094527	0.0070343336997698
"Scaffold"	"2. MorganCounts"	" CYP2D6"	"RF"	0.494087454898455	0.451451100571585	0.124219420585428	0.16460540962287	0.0260280609475679	0.0393045306216794	0.988461592516071	0.0062654179248087
"Scaffold"	"3. MACCS"	" CYP2D6"	"RF"	0.468050398893947	0.438985294125068	0.149041547463241	0.17682931315398	0.0436063687270459	0.105724189799011	0.987122905002399	0.0075089363746849
"Scaffold"	"0. RDKit Descriptors"	" CYP2D6"	"RF"	0.483540439748382	0.440685578863964	0.0853777759317885	0.125897421558591	0.0551031751179833	0.180976852703526	0.988143320551774	0.0065252229753733
"Scaffold"	"5. PhysChem Descriptors"	" CYP2D6"	"RF"	0.446597745757596	0.446694884234833	0.070628176805935	0.122306890494645	0.0178467969422425	0.0258294807134424	0.985646431816555	0.0090435814151042
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"RF"	0.463787988406666	0.44051229269476	0.0960226083860446	0.143925544919274	0.0509782429702345	0.181491799430677	0.985666297299394	0.0091476664146943
"Scaffold"	"1. MorganBits"	" CYP2D6"	"SVM"	0.423279810323856	0.436830518839942	0.136208285478978	0.217496058642591	0.0319664498747814	0.0777099046597656	0.96087827630079	0.0704972012486291
"Scaffold"	"2. MorganCounts"	" CYP2D6"	"SVM"	0.449217291696391	0.438044695784232	0.139934102025364	0.21753586146775	0.03136698974845	0.0675474326598791	0.981786910687656	0.0180230469512343
"Scaffold"	"3. MACCS"	" CYP2D6"	"SVM"	0.469300232344608	0.439694319286178	0.0619182586499779	0.0858391458425553	0.0341480887637964	0.0914946648792814	0.969719922870668	0.0893452621691419
"Scaffold"	"0. RDKit Descriptors"	" CYP2D6"	"SVM"	0.411193603318337	0.40454380081107	0.0427088673602252	0.0757812174934611	0.0197542493946187	0.0429333847198413	0.955175517976326	0.0930248855335656
"Scaffold"	"5. PhysChem Descriptors"	" CYP2D6"	"SVM"	0.355510604647184	0.403941749676833	0.0412183486168136	0.1037551432879	0.0073518366052995	0.0087762533361448	0.959497570144312	0.0885939561859574
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"SVM"	0.475341806397074	0.44758161078249	0.10453858863532	0.165311054947688	0.0231985950747339	0.0382561725310419	0.984147442628739	0.0187230648812802
"Scaffold"	"1. MorganBits"	" CYP2D6"	"XGBoost"	0.472517024243772	0.438625690446879	0.11801819968261	0.175909060019363	0.0420385234135234	0.126111242224984	0.982532407528978	0.0289819317714838
