"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
23	" HIV"	"Scaffold"	"Training vs Test"	0.537475033330129
24	" HIV"	"Scaffold"	"Training vs Test"	0.541583097188643
25	" HIV"	"Scaffold"	"Training vs Test"	0.54120795316804
26	" HIV"	"Scaffold"	"Training vs Test"	0.539495719550098
27	" HIV"	"Scaffold"	"Training vs Test"	0.533837360631309
28	" HIV"	"Scaffold"	"Training vs Test"	0.467314005446947
29	" HIV"	"Scaffold"	"Training vs Test"	0.53820356263091
0	"ESOL"	"Scaffold"	"Training vs Test"	0.435251233478387
1	"ESOL"	"Scaffold"	"Training vs Test"	0.448288719643626
2	"ESOL"	"Scaffold"	"Training vs Test"	0.438540517107437
3	"ESOL"	"Scaffold"	"Training vs Test"	0.406896284144176
4	"ESOL"	"Scaffold"	"Training vs Test"	0.479354864803323
5	"ESOL"	"Scaffold"	"Training vs Test"	0.430726933897587
6	"ESOL"	"Scaffold"	"Training vs Test"	0.418796709624299
7	"ESOL"	"Scaffold"	"Training vs Test"	0.436031133328613
8	"ESOL"	"Scaffold"	"Training vs Test"	0.466101140698843
9	"ESOL"	"Scaffold"	"Training vs Test"	0.424847658658237
10	"ESOL"	"Scaffold"	"Training vs Test"	0.417510670920213
11	"ESOL"	"Scaffold"	"Training vs Test"	0.447384325427967
12	"ESOL"	"Scaffold"	"Training vs Test"	0.485935018250817
13	"ESOL"	"Scaffold"	"Training vs Test"	0.414725788068353
14	"ESOL"	"Scaffold"	"Training vs Test"	0.416725476321421
15	"ESOL"	"Scaffold"	"Training vs Test"	0.474068807143914
16	"ESOL"	"Scaffold"	"Training vs Test"	0.458246014097281
17	"ESOL"	"Scaffold"	"Training vs Test"	0.436636181254136
18	"ESOL"	"Scaffold"	"Training vs Test"	0.436735927274353
19	"ESOL"	"Scaffold"	"Training vs Test"	0.532361126913313
20	"ESOL"	"Scaffold"	"Training vs Test"	0.502541529635588
21	"ESOL"	"Scaffold"	"Training vs Test"	0.497826890202991
22	"ESOL"	"Scaffold"	"Training vs Test"	0.47493819251918
23	"ESOL"	"Scaffold"	"Training vs Test"	0.457481318398526
24	"ESOL"	"Scaffold"	"Training vs Test"	0.373931974434016
25	"ESOL"	"Scaffold"	"Training vs Test"	0.44306809232946
26	"ESOL"	"Scaffold"	"Training vs Test"	0.442533311090971
27	"ESOL"	"Scaffold"	"Training vs Test"	0.431139934481236
28	"ESOL"	"Scaffold"	"Training vs Test"	0.410935956527267
29	"ESOL"	"Scaffold"	"Training vs Test"	0.460363017101037
0	"FreeSolv"	"Scaffold"	"Training vs Test"	0.402082146360324
1	"FreeSolv"	"Scaffold"	"Training vs Test"	0.343623387011198
2	"FreeSolv"	"Scaffold"	"Training vs Test"	0.382468659717303
3	"FreeSolv"	"Scaffold"	"Training vs Test"	0.403539109344666
4	"FreeSolv"	"Scaffold"	"Training vs Test"	0.292822874280123
5	"FreeSolv"	"Scaffold"	"Training vs Test"	0.336912635771128
6	"FreeSolv"	"Scaffold"	"Training vs Test"	0.36064889648786
7	"FreeSolv"	"Scaffold"	"Training vs Test"	0.382395586027549
8	"FreeSolv"	"Scaffold"	"Training vs Test"	0.399972214721716
9	"FreeSolv"	"Scaffold"	"Training vs Test"	0.404616995958182
10	"FreeSolv"	"Scaffold"	"Training vs Test"	0.36952781195824
11	"FreeSolv"	"Scaffold"	"Training vs Test"	0.357160193645037
12	"FreeSolv"	"Scaffold"	"Training vs Test"	0.373248270268624
13	"FreeSolv"	"Scaffold"	"Training vs Test"	0.2697183741973
14	"FreeSolv"	"Scaffold"	"Training vs Test"	0.389998600230767
15	"FreeSolv"	"Scaffold"	"Training vs Test"	0.429033893805284
16	"FreeSolv"	"Scaffold"	"Training vs Test"	0.375180701682201
17	"FreeSolv"	"Scaffold"	"Training vs Test"	0.361555911485965
