"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
0	" HIV"	"Scaffold"	" Training vs Validation"	0.539312194632403
1	" HIV"	"Scaffold"	" Training vs Validation"	0.53352801344477
2	" HIV"	"Scaffold"	" Training vs Validation"	0.543322748834347
3	" HIV"	"Scaffold"	" Training vs Validation"	0.473719075488847
4	" HIV"	"Scaffold"	" Training vs Validation"	0.542340919342805
5	" HIV"	"Scaffold"	" Training vs Validation"	0.547119181333218
6	" HIV"	"Scaffold"	" Training vs Validation"	0.54260935445211
7	" HIV"	"Scaffold"	" Training vs Validation"	0.538675698893804
8	" HIV"	"Scaffold"	" Training vs Validation"	0.545102512880667
9	" HIV"	"Scaffold"	" Training vs Validation"	0.538457710716279
10	" HIV"	"Scaffold"	" Training vs Validation"	0.542344672264756
11	" HIV"	"Scaffold"	" Training vs Validation"	0.545836910616302
12	" HIV"	"Scaffold"	" Training vs Validation"	0.534255373954831
13	" HIV"	"Scaffold"	" Training vs Validation"	0.534585855276132
14	" HIV"	"Scaffold"	" Training vs Validation"	0.537735067007172
15	" HIV"	"Scaffold"	" Training vs Validation"	0.54145576701235
16	" HIV"	"Scaffold"	" Training vs Validation"	0.539011626859496
17	" HIV"	"Scaffold"	" Training vs Validation"	0.534471605418808
18	" HIV"	"Scaffold"	" Training vs Validation"	0.540050858722326
19	" HIV"	"Scaffold"	" Training vs Validation"	0.544269862012206
20	" HIV"	"Scaffold"	" Training vs Validation"	0.54125477976423
21	" HIV"	"Scaffold"	" Training vs Validation"	0.541133314052213
22	" HIV"	"Scaffold"	" Training vs Validation"	0.548837738608079
23	" HIV"	"Scaffold"	" Training vs Validation"	0.539471800989881
24	" HIV"	"Scaffold"	" Training vs Validation"	0.541457266162661
25	" HIV"	"Scaffold"	" Training vs Validation"	0.536319619881765
26	" HIV"	"Scaffold"	" Training vs Validation"	0.474939064510486
27	" HIV"	"Scaffold"	" Training vs Validation"	0.544235794957191
28	" HIV"	"Scaffold"	" Training vs Validation"	0.547090037051835
29	" HIV"	"Scaffold"	" Training vs Validation"	0.467409388223801
0	"ESOL"	"Scaffold"	" Training vs Validation"	0.491549205301063
1	"ESOL"	"Scaffold"	" Training vs Validation"	0.450278371306402
2	"ESOL"	"Scaffold"	" Training vs Validation"	0.430191622115672
3	"ESOL"	"Scaffold"	" Training vs Validation"	0.488848247033145
4	"ESOL"	"Scaffold"	" Training vs Validation"	0.416489954372602
5	"ESOL"	"Scaffold"	" Training vs Validation"	0.470481273452086
6	"ESOL"	"Scaffold"	" Training vs Validation"	0.455087679571339
7	"ESOL"	"Scaffold"	" Training vs Validation"	0.447103917465678
8	"ESOL"	"Scaffold"	" Training vs Validation"	0.434469984179097
9	"ESOL"	"Scaffold"	" Training vs Validation"	0.468401703850499
10	"ESOL"	"Scaffold"	" Training vs Validation"	0.428057627087193
11	"ESOL"	"Scaffold"	" Training vs Validation"	0.481184189207852
12	"ESOL"	"Scaffold"	" Training vs Validation"	0.446354417130351
13	"ESOL"	"Scaffold"	" Training vs Validation"	0.436925179990275
14	"ESOL"	"Scaffold"	" Training vs Validation"	0.488963006862572
15	"ESOL"	"Scaffold"	" Training vs Validation"	0.438258795466806
16	"ESOL"	"Scaffold"	" Training vs Validation"	0.445990301269506
17	"ESOL"	"Scaffold"	" Training vs Validation"	0.475449757384402
18	"ESOL"	"Scaffold"	" Training vs Validation"	0.436685176300151
19	"ESOL"	"Scaffold"	" Training vs Validation"	0.403186319928084
20	"ESOL"	"Scaffold"	" Training vs Validation"	0.404804129020444
21	"ESOL"	"Scaffold"	" Training vs Validation"	0.418675871965076
22	"ESOL"	"Scaffold"	" Training vs Validation"	0.453596193609493
23	"ESOL"	"Scaffold"	" Training vs Validation"	0.437937135542078
24	"ESOL"	"Scaffold"	" Training vs Validation"	0.45367604387658
25	"ESOL"	"Scaffold"	" Training vs Validation"	0.421892199665308
26	"ESOL"	"Scaffold"	" Training vs Validation"	0.427593298655535
27	"ESOL"	"Scaffold"	" Training vs Validation"	0.452195999877793
28	"ESOL"	"Scaffold"	" Training vs Validation"	0.456712360892977
29	"ESOL"	"Scaffold"	" Training vs Validation"	0.48980435755636
0	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.376851853332482
1	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.390210672747344
2	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.366121657425538
3	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.346819310332648
4	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.418271062197164
5	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.311192353023216
6	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.350574629381299
7	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.321773933595978
8	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.340383798466064
9	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.374105872120708
10	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.384355723275803
11	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.313449904322624
12	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.409363746643066
13	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.372207500156946
14	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.374786439118907
15	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.396791324019432
16	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.376104171504267
17	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.422368264524266
18	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.36172670207452
19	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.420681291958317
20	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.411346341483295
21	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.371218170970678
22	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.328623158158734
23	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.388855332508683
24	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.397070933599025
25	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.37845894927159
26	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.394638431374915
27	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.412538495729677
28	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.364059774787165
29	"FreeSolv"	"Scaffold"	" Training vs Validation"	0.37340235861484
0	"Lipop"	"Scaffold"	" Training vs Validation"	0.563159314755883
1	"Lipop"	"Scaffold"	" Training vs Validation"	0.563871223337594
2	"Lipop"	"Scaffold"	" Training vs Validation"	0.562884691676923
3	"Lipop"	"Scaffold"	" Training vs Validation"	0.586374236891667
4	"Lipop"	"Scaffold"	" Training vs Validation"	0.557908558668125
5	"Lipop"	"Scaffold"	" Training vs Validation"	0.589922212241661
6	"Lipop"	"Scaffold"	" Training vs Validation"	0.568954536886442
7	"Lipop"	"Scaffold"	" Training vs Validation"	0.586502301976794
8	"Lipop"	"Scaffold"	" Training vs Validation"	0.562339408731177
9	"Lipop"	"Scaffold"	" Training vs Validation"	0.55020822960706
10	"Lipop"	"Scaffold"	" Training vs Validation"	0.568323852866888
11	"Lipop"	"Scaffold"	" Training vs Validation"	0.533892750811009
12	"Lipop"	"Scaffold"	" Training vs Validation"	0.548211298066945
13	"Lipop"	"Scaffold"	" Training vs Validation"	0.574027688801289
14	"Lipop"	"Scaffold"	" Training vs Validation"	0.536439796501682
15	"Lipop"	"Scaffold"	" Training vs Validation"	0.55246161013132
16	"Lipop"	"Scaffold"	" Training vs Validation"	0.572070575860285
17	"Lipop"	"Scaffold"	" Training vs Validation"	0.573621843010187
18	"Lipop"	"Scaffold"	" Training vs Validation"	0.543702511915139
19	"Lipop"	"Scaffold"	" Training vs Validation"	0.556728927258934
20	"Lipop"	"Scaffold"	" Training vs Validation"	0.52234680223323
21	"Lipop"	"Scaffold"	" Training vs Validation"	0.582978359432448
22	"Lipop"	"Scaffold"	" Training vs Validation"	0.570896895868438
23	"Lipop"	"Scaffold"	" Training vs Validation"	0.572513480165175
24	"Lipop"	"Scaffold"	" Training vs Validation"	0.563595664359274
25	"Lipop"	"Scaffold"	" Training vs Validation"	0.586269681474992
26	"Lipop"	"Scaffold"	" Training vs Validation"	0.546016276521342
27	"Lipop"	"Scaffold"	" Training vs Validation"	0.550127040523858
28	"Lipop"	"Scaffold"	" Training vs Validation"	0.585034599509977
29	"Lipop"	"Scaffold"	" Training vs Validation"	0.570422612556389
0	" BACE"	"Random"	" Training vs Validation"	0.784026747113032
1	" BACE"	"Random"	" Training vs Validation"	0.787994051907236
2	" BACE"	"Random"	" Training vs Validation"	0.787448662598402
3	" BACE"	"Random"	" Training vs Validation"	0.787651380758412
4	" BACE"	"Random"	" Training vs Validation"	0.780660771770983
5	" BACE"	"Random"	" Training vs Validation"	0.806737470903144
6	" BACE"	"Random"	" Training vs Validation"	0.791267696990083
7	" BACE"	"Random"	" Training vs Validation"	0.784940389213183
8	" BACE"	"Random"	" Training vs Validation"	0.799997347178838
9	" BACE"	"Random"	" Training vs Validation"	0.782888205536943
10	" BACE"	"Random"	" Training vs Validation"	0.792922340876219
11	" BACE"	"Random"	" Training vs Validation"	0.786227292572426
12	" BACE"	"Random"	" Training vs Validation"	0.782737948641872
13	" BACE"	"Random"	" Training vs Validation"	0.794318045606676
14	" BACE"	"Random"	" Training vs Validation"	0.786834621863649
15	" BACE"	"Random"	" Training vs Validation"	0.791939005946481
16	" BACE"	"Random"	" Training vs Validation"	0.782703484920476
17	" BACE"	"Random"	" Training vs Validation"	0.798002682280856
18	" BACE"	"Random"	" Training vs Validation"	0.797959600458082
19	" BACE"	"Random"	" Training vs Validation"	0.793821327338945
20	" BACE"	"Random"	" Training vs Validation"	0.788144298736623
21	" BACE"	"Random"	" Training vs Validation"	0.787848024474864
22	" BACE"	"Random"	" Training vs Validation"	0.789031411440957
23	" BACE"	"Random"	" Training vs Validation"	0.795966135547651
24	" BACE"	"Random"	" Training vs Validation"	0.78747064822557
25	" BACE"	"Random"	" Training vs Validation"	0.771670049981566
26	" BACE"	"Random"	" Training vs Validation"	0.776158163977775
27	" BACE"	"Random"	" Training vs Validation"	0.787136049262735
28	" BACE"	"Random"	" Training vs Validation"	0.799855614537435
29	" BACE"	"Random"	" Training vs Validation"	0.802450699916739
0	" BBBP"	"Random"	" Training vs Validation"	0.607659009924414
1	" BBBP"	"Random"	" Training vs Validation"	0.615763624436131
2	" BBBP"	"Random"	" Training vs Validation"	0.594515300556725
3	" BBBP"	"Random"	" Training vs Validation"	0.591250810260866
4	" BBBP"	"Random"	" Training vs Validation"	0.589934896695994
5	" BBBP"	"Random"	" Training vs Validation"	0.563131973768274
6	" BBBP"	"Random"	" Training vs Validation"	0.588242156321512
7	" BBBP"	"Random"	" Training vs Validation"	0.587626393300061
8	" BBBP"	"Random"	" Training vs Validation"	0.600317994899609
9	" BBBP"	"Random"	" Training vs Validation"	0.6133578869642
10	" BBBP"	"Random"	" Training vs Validation"	0.582047078101074
11	" BBBP"	"Random"	" Training vs Validation"	0.576344481906762
12	" BBBP"	"Random"	" Training vs Validation"	0.576508700920671
13	" BBBP"	"Random"	" Training vs Validation"	0.602558007646425
14	" BBBP"	"Random"	" Training vs Validation"	0.567203425455327
15	" BBBP"	"Random"	" Training vs Validation"	0.577708423575934
16	" BBBP"	"Random"	" Training vs Validation"	0.576994770809132
17	" BBBP"	"Random"	" Training vs Validation"	0.597216668374398
18	" BBBP"	"Random"	" Training vs Validation"	0.564976163573709
19	" BBBP"	"Random"	" Training vs Validation"	0.587984339060152
20	" BBBP"	"Random"	" Training vs Validation"	0.575041067256939
21	" BBBP"	"Random"	" Training vs Validation"	0.58208039556356
22	" BBBP"	"Random"	" Training vs Validation"	0.580434173929925
23	" BBBP"	"Random"	" Training vs Validation"	0.578038628815728
24	" BBBP"	"Random"	" Training vs Validation"	0.579214529809999
25	" BBBP"	"Random"	" Training vs Validation"	0.580065860540844
26	" BBBP"	"Random"	" Training vs Validation"	0.599465672072827
27	" BBBP"	"Random"	" Training vs Validation"	0.57464712931245
28	" BBBP"	"Random"	" Training vs Validation"	0.592511824898276
29	" BBBP"	"Random"	" Training vs Validation"	0.576525505705207
0	" HIV"	"Random"	" Training vs Validation"	0.612403505010683
1	" HIV"	"Random"	" Training vs Validation"	0.615670009512556
2	" HIV"	"Random"	" Training vs Validation"	0.615448220738061
3	" HIV"	"Random"	" Training vs Validation"	0.619232247697719
4	" HIV"	"Random"	" Training vs Validation"	0.615542536449224
5	" HIV"	"Random"	" Training vs Validation"	0.61776885839817
6	" HIV"	"Random"	" Training vs Validation"	0.615321625821321
7	" HIV"	"Random"	" Training vs Validation"	0.613791488176248
8	" HIV"	"Random"	" Training vs Validation"	0.614106983165637
9	" HIV"	"Random"	" Training vs Validation"	0.613210909141061
10	" HIV"	"Random"	" Training vs Validation"	0.615201065360282
11	" HIV"	"Random"	" Training vs Validation"	0.618942854844454
12	" HIV"	"Random"	" Training vs Validation"	0.616111630816665
13	" HIV"	"Random"	" Training vs Validation"	0.611940373691951
14	" HIV"	"Random"	" Training vs Validation"	0.619298094122558
15	" HIV"	"Random"	" Training vs Validation"	0.61859472544958
16	" HIV"	"Random"	" Training vs Validation"	0.617556490515022
17	" HIV"	"Random"	" Training vs Validation"	0.615667004509673
18	" HIV"	"Random"	" Training vs Validation"	0.611945592356186
19	" HIV"	"Random"	" Training vs Validation"	0.617421381501662
20	" HIV"	"Random"	" Training vs Validation"	0.610933087434591
21	" HIV"	"Random"	" Training vs Validation"	0.614968127685197
22	" HIV"	"Random"	" Training vs Validation"	0.617374198496748
23	" HIV"	"Random"	" Training vs Validation"	0.613177913596223
24	" HIV"	"Random"	" Training vs Validation"	0.614378522523472
25	" HIV"	"Random"	" Training vs Validation"	0.616486555530693
26	" HIV"	"Random"	" Training vs Validation"	0.612856349737496
27	" HIV"	"Random"	" Training vs Validation"	0.610457017387224
28	" HIV"	"Random"	" Training vs Validation"	0.615521751086913
29	" HIV"	"Random"	" Training vs Validation"	0.615869135766178
0	"ESOL"	"Random"	" Training vs Validation"	0.567257758394807
1	"ESOL"	"Random"	" Training vs Validation"	0.572492504278115
2	"ESOL"	"Random"	" Training vs Validation"	0.581741294634026
3	"ESOL"	"Random"	" Training vs Validation"	0.540515769108207
4	"ESOL"	"Random"	" Training vs Validation"	0.58176068592388
5	"ESOL"	"Random"	" Training vs Validation"	0.558923106014201
6	"ESOL"	"Random"	" Training vs Validation"	0.596388663865824
7	"ESOL"	"Random"	" Training vs Validation"	0.564214976356093
8	"ESOL"	"Random"	" Training vs Validation"	0.584679343531617
9	"ESOL"	"Random"	" Training vs Validation"	0.578725334817329
10	"ESOL"	"Random"	" Training vs Validation"	0.545800772915899
11	"ESOL"	"Random"	" Training vs Validation"	0.548896092888528
12	"ESOL"	"Random"	" Training vs Validation"	0.563205184266631
13	"ESOL"	"Random"	" Training vs Validation"	0.586848749523669
14	"ESOL"	"Random"	" Training vs Validation"	0.578153896120797
15	"ESOL"	"Random"	" Training vs Validation"	0.584482259389046
16	"ESOL"	"Random"	" Training vs Validation"	0.553644414232895
17	"ESOL"	"Random"	" Training vs Validation"	0.532989120325156
18	"ESOL"	"Random"	" Training vs Validation"	0.551327249908869
19	"ESOL"	"Random"	" Training vs Validation"	0.572320274810875
20	"ESOL"	"Random"	" Training vs Validation"	0.587392041772868
21	"ESOL"	"Random"	" Training vs Validation"	0.543123073150626
22	"ESOL"	"Random"	" Training vs Validation"	0.589121115023056
23	"ESOL"	"Random"	" Training vs Validation"	0.552076121083403
24	"ESOL"	"Random"	" Training vs Validation"	0.560064326477262
25	"ESOL"	"Random"	" Training vs Validation"	0.574278248292682
26	"ESOL"	"Random"	" Training vs Validation"	0.568683921631459
27	"ESOL"	"Random"	" Training vs Validation"	0.584820498407415
28	"ESOL"	"Random"	" Training vs Validation"	0.566484466326975
29	"ESOL"	"Random"	" Training vs Validation"	0.569242690648653
0	"FreeSolv"	"Random"	" Training vs Validation"	0.551710807252675
1	"FreeSolv"	"Random"	" Training vs Validation"	0.558537210803479
2	"FreeSolv"	"Random"	" Training vs Validation"	0.555060815648176
3	"FreeSolv"	"Random"	" Training vs Validation"	0.544721368816681
4	"FreeSolv"	"Random"	" Training vs Validation"	0.562080103205517
5	"FreeSolv"	"Random"	" Training vs Validation"	0.544316446175799
6	"FreeSolv"	"Random"	" Training vs Validation"	0.567495591938496
7	"FreeSolv"	"Random"	" Training vs Validation"	0.569689188618213
8	"FreeSolv"	"Random"	" Training vs Validation"	0.535391132812947
9	"FreeSolv"	"Random"	" Training vs Validation"	0.540576301515102
10	"FreeSolv"	"Random"	" Training vs Validation"	0.55757347762119
11	"FreeSolv"	"Random"	" Training vs Validation"	0.52802379662171
12	"FreeSolv"	"Random"	" Training vs Validation"	0.526653923094273
13	"FreeSolv"	"Random"	" Training vs Validation"	0.544823774369434
14	"FreeSolv"	"Random"	" Training vs Validation"	0.524636642308906
15	"FreeSolv"	"Random"	" Training vs Validation"	0.526955799665302
16	"FreeSolv"	"Random"	" Training vs Validation"	0.57948119728826
17	"FreeSolv"	"Random"	" Training vs Validation"	0.528284056577832
18	"FreeSolv"	"Random"	" Training vs Validation"	0.520129857817665
19	"FreeSolv"	"Random"	" Training vs Validation"	0.521180013893172
20	"FreeSolv"	"Random"	" Training vs Validation"	0.566175959538668
21	"FreeSolv"	"Random"	" Training vs Validation"	0.525523392949253
22	"FreeSolv"	"Random"	" Training vs Validation"	0.546071820310317
23	"FreeSolv"	"Random"	" Training vs Validation"	0.531014894600958
24	"FreeSolv"	"Random"	" Training vs Validation"	0.556560039520264
25	"FreeSolv"	"Random"	" Training vs Validation"	0.538137607043609
26	"FreeSolv"	"Random"	" Training vs Validation"	0.572179482551292
27	"FreeSolv"	"Random"	" Training vs Validation"	0.562225648667663
28	"FreeSolv"	"Random"	" Training vs Validation"	0.554539905162528
29	"FreeSolv"	"Random"	" Training vs Validation"	0.557671861955896
0	"Lipop"	"Random"	" Training vs Validation"	0.64024136194161
1	"Lipop"	"Random"	" Training vs Validation"	0.645644676472459
2	"Lipop"	"Random"	" Training vs Validation"	0.643863096762271
3	"Lipop"	"Random"	" Training vs Validation"	0.653838234039999
4	"Lipop"	"Random"	" Training vs Validation"	0.648100321988265
5	"Lipop"	"Random"	" Training vs Validation"	0.664203312035118
6	"Lipop"	"Random"	" Training vs Validation"	0.645908202869552
7	"Lipop"	"Random"	" Training vs Validation"	0.658550169531788
8	"Lipop"	"Random"	" Training vs Validation"	0.641450794892652
9	"Lipop"	"Random"	" Training vs Validation"	0.637921520074209
10	"Lipop"	"Random"	" Training vs Validation"	0.656943845181238
11	"Lipop"	"Random"	" Training vs Validation"	0.654568261937017
12	"Lipop"	"Random"	" Training vs Validation"	0.651458736792916
13	"Lipop"	"Random"	" Training vs Validation"	0.644234331377915
14	"Lipop"	"Random"	" Training vs Validation"	0.643668357779582
15	"Lipop"	"Random"	" Training vs Validation"	0.638916109963542
16	"Lipop"	"Random"	" Training vs Validation"	0.634036632698207
17	"Lipop"	"Random"	" Training vs Validation"	0.657895389695962
18	"Lipop"	"Random"	" Training vs Validation"	0.648671944510369
19	"Lipop"	"Random"	" Training vs Validation"	0.657832755290327
20	"Lipop"	"Random"	" Training vs Validation"	0.631565181591681
21	"Lipop"	"Random"	" Training vs Validation"	0.63125017217937
22	"Lipop"	"Random"	" Training vs Validation"	0.659479754382656
23	"Lipop"	"Random"	" Training vs Validation"	0.639231509147655
24	"Lipop"	"Random"	" Training vs Validation"	0.64416400300605
25	"Lipop"	"Random"	" Training vs Validation"	0.637543096357868
26	"Lipop"	"Random"	" Training vs Validation"	0.626331417688302
27	"Lipop"	"Random"	" Training vs Validation"	0.665243663567872
28	"Lipop"	"Random"	" Training vs Validation"	0.642341991336573
29	"Lipop"	"Random"	" Training vs Validation"	0.643386468220325
0	" BACE"	"Scaffold"	" Validation vs Test"	0.529328113029662
1	" BACE"	"Scaffold"	" Validation vs Test"	0.569744103441113
2	" BACE"	"Scaffold"	" Validation vs Test"	0.56400247526012
3	" BACE"	"Scaffold"	" Validation vs Test"	0.555926328328879
4	" BACE"	"Scaffold"	" Validation vs Test"	0.465028244119726
5	" BACE"	"Scaffold"	" Validation vs Test"	0.560189712106397
6	" BACE"	"Scaffold"	" Validation vs Test"	0.485881576118501
7	" BACE"	"Scaffold"	" Validation vs Test"	0.571786847553755
8	" BACE"	"Scaffold"	" Validation vs Test"	0.501552915788795
9	" BACE"	"Scaffold"	" Validation vs Test"	0.486515989233004
10	" BACE"	"Scaffold"	" Validation vs Test"	0.568809896119331
11	" BACE"	"Scaffold"	" Validation vs Test"	0.531727571040392
12	" BACE"	"Scaffold"	" Validation vs Test"	0.534175073237796
13	" BACE"	"Scaffold"	" Validation vs Test"	0.502528686468538
14	" BACE"	"Scaffold"	" Validation vs Test"	0.432744287052437
15	" BACE"	"Scaffold"	" Validation vs Test"	0.599497796673524
16	" BACE"	"Scaffold"	" Validation vs Test"	0.558875568015011
17	" BACE"	"Scaffold"	" Validation vs Test"	0.570488873182943
18	" BACE"	"Scaffold"	" Validation vs Test"	0.554240131946771
19	" BACE"	"Scaffold"	" Validation vs Test"	0.546337356692866
20	" BACE"	"Scaffold"	" Validation vs Test"	0.547412832904803
21	" BACE"	"Scaffold"	" Validation vs Test"	0.522050009550233
22	" BACE"	"Scaffold"	" Validation vs Test"	0.538444481692032
23	" BACE"	"Scaffold"	" Validation vs Test"	0.531794397062377
24	" BACE"	"Scaffold"	" Validation vs Test"	0.542207286448071
25	" BACE"	"Scaffold"	" Validation vs Test"	0.501984969957879
26	" BACE"	"Scaffold"	" Validation vs Test"	0.537026828449023
27	" BACE"	"Scaffold"	" Validation vs Test"	0.517970214156728
28	" BACE"	"Scaffold"	" Validation vs Test"	0.52865244771697
29	" BACE"	"Scaffold"	" Validation vs Test"	0.533221414508788
0	" BBBP"	"Scaffold"	" Validation vs Test"	0.320928374659724
1	" BBBP"	"Scaffold"	" Validation vs Test"	0.332111757194124
2	" BBBP"	"Scaffold"	" Validation vs Test"	0.347933331822477
3	" BBBP"	"Scaffold"	" Validation vs Test"	0.275177395489158
4	" BBBP"	"Scaffold"	" Validation vs Test"	0.369227232075319
5	" BBBP"	"Scaffold"	" Validation vs Test"	0.34637944429386
6	" BBBP"	"Scaffold"	" Validation vs Test"	0.294167929815083
7	" BBBP"	"Scaffold"	" Validation vs Test"	0.357743796488134
8	" BBBP"	"Scaffold"	" Validation vs Test"	0.345008156975595
9	" BBBP"	"Scaffold"	" Validation vs Test"	0.33895236479073
10	" BBBP"	"Scaffold"	" Validation vs Test"	0.301161488599894
11	" BBBP"	"Scaffold"	" Validation vs Test"	0.357755381268699
12	" BBBP"	"Scaffold"	" Validation vs Test"	0.253933925999374
13	" BBBP"	"Scaffold"	" Validation vs Test"	0.340341629851155
14	" BBBP"	"Scaffold"	" Validation vs Test"	0.27091342036317
15	" BBBP"	"Scaffold"	" Validation vs Test"	0.22670241965935
16	" BBBP"	"Scaffold"	" Validation vs Test"	0.292433333142502
17	" BBBP"	"Scaffold"	" Validation vs Test"	0.325112084063088
18	" BBBP"	"Scaffold"	" Validation vs Test"	0.298251578248129
19	" BBBP"	"Scaffold"	" Validation vs Test"	0.315105421223292
20	" BBBP"	"Scaffold"	" Validation vs Test"	0.322714089438683
21	" BBBP"	"Scaffold"	" Validation vs Test"	0.344263027935493
22	" BBBP"	"Scaffold"	" Validation vs Test"	0.426793621553154
23	" BBBP"	"Scaffold"	" Validation vs Test"	0.325116692955901
24	" BBBP"	"Scaffold"	" Validation vs Test"	0.349509184534957
25	" BBBP"	"Scaffold"	" Validation vs Test"	0.337477331481329
26	" BBBP"	"Scaffold"	" Validation vs Test"	0.382952706406756
27	" BBBP"	"Scaffold"	" Validation vs Test"	0.347517647321631
28	" BBBP"	"Scaffold"	" Validation vs Test"	0.332760644068078
29	" BBBP"	"Scaffold"	" Validation vs Test"	0.349269872322315
0	" HIV"	"Scaffold"	" Validation vs Test"	0.394874305127167
1	" HIV"	"Scaffold"	" Validation vs Test"	0.390297364730659
2	" HIV"	"Scaffold"	" Validation vs Test"	0.388110822559838
3	" HIV"	"Scaffold"	" Validation vs Test"	0.360404216868945
4	" HIV"	"Scaffold"	" Validation vs Test"	0.384935276971851
5	" HIV"	"Scaffold"	" Validation vs Test"	0.388311672645084
6	" HIV"	"Scaffold"	" Validation vs Test"	0.395043251271988
7	" HIV"	"Scaffold"	" Validation vs Test"	0.395733009205953
8	" HIV"	"Scaffold"	" Validation vs Test"	0.388850460350224
9	" HIV"	"Scaffold"	" Validation vs Test"	0.395607059713251
10	" HIV"	"Scaffold"	" Validation vs Test"	0.391883016652488
11	" HIV"	"Scaffold"	" Validation vs Test"	0.390225568713352
12	" HIV"	"Scaffold"	" Validation vs Test"	0.387447499416256
13	" HIV"	"Scaffold"	" Validation vs Test"	0.395233588557217
14	" HIV"	"Scaffold"	" Validation vs Test"	0.387798680295525
15	" HIV"	"Scaffold"	" Validation vs Test"	0.383337323516499
16	" HIV"	"Scaffold"	" Validation vs Test"	0.394822761829451
17	" HIV"	"Scaffold"	" Validation vs Test"	0.393583391310089
18	" HIV"	"Scaffold"	" Validation vs Test"	0.395603253327015
19	" HIV"	"Scaffold"	" Validation vs Test"	0.351320335636522
20	" HIV"	"Scaffold"	" Validation vs Test"	0.401179758544288
21	" HIV"	"Scaffold"	" Validation vs Test"	0.342499387313524
22	" HIV"	"Scaffold"	" Validation vs Test"	0.335912710124998
23	" HIV"	"Scaffold"	" Validation vs Test"	0.395402060792216
24	" HIV"	"Scaffold"	" Validation vs Test"	0.397833555259323
25	" HIV"	"Scaffold"	" Validation vs Test"	0.389062325150651
26	" HIV"	"Scaffold"	" Validation vs Test"	0.362981262663232
27	" HIV"	"Scaffold"	" Validation vs Test"	0.391589703340398
28	" HIV"	"Scaffold"	" Validation vs Test"	0.334779234419636
29	" HIV"	"Scaffold"	" Validation vs Test"	0.36038491900475
0	"ESOL"	"Scaffold"	" Validation vs Test"	0.312308281529368
1	"ESOL"	"Scaffold"	" Validation vs Test"	0.337036468807543
2	"ESOL"	"Scaffold"	" Validation vs Test"	0.311138199903724
3	"ESOL"	"Scaffold"	" Validation vs Test"	0.309775209348453
4	"ESOL"	"Scaffold"	" Validation vs Test"	0.332376040060792
5	"ESOL"	"Scaffold"	" Validation vs Test"	0.260629880389101
6	"ESOL"	"Scaffold"	" Validation vs Test"	0.346255511437592
7	"ESOL"	"Scaffold"	" Validation vs Test"	0.328002863416546
8	"ESOL"	"Scaffold"	" Validation vs Test"	0.321935140380734
9	"ESOL"	"Scaffold"	" Validation vs Test"	0.327091986607564
10	"ESOL"	"Scaffold"	" Validation vs Test"	0.325890438598499
11	"ESOL"	"Scaffold"	" Validation vs Test"	0.36624470653764
12	"ESOL"	"Scaffold"	" Validation vs Test"	0.320243975114927
13	"ESOL"	"Scaffold"	" Validation vs Test"	0.297794292370478
14	"ESOL"	"Scaffold"	" Validation vs Test"	0.304698080608719
15	"ESOL"	"Scaffold"	" Validation vs Test"	0.299360106780864
16	"ESOL"	"Scaffold"	" Validation vs Test"	0.34374518228466
17	"ESOL"	"Scaffold"	" Validation vs Test"	0.310282961383723
18	"ESOL"	"Scaffold"	" Validation vs Test"	0.3093585928804
19	"ESOL"	"Scaffold"	" Validation vs Test"	0.333690418355298
20	"ESOL"	"Scaffold"	" Validation vs Test"	0.314088123409372
21	"ESOL"	"Scaffold"	" Validation vs Test"	0.359003038129263
22	"ESOL"	"Scaffold"	" Validation vs Test"	0.268601868889834
23	"ESOL"	"Scaffold"	" Validation vs Test"	0.336620527205237
24	"ESOL"	"Scaffold"	" Validation vs Test"	0.303779419838336
