"fold"	"D_statistic"	"p_value"	"split_type"	"mol_prop"	"group"
5	0.0763888888888889	0.794824122019366	"Random"	"  MDR1"	" Validation vs Test"
6	0.0902777777777778	0.600256233825177	"Random"	"  MDR1"	" Validation vs Test"
7	0.0625	0.941181370674482	"Random"	"  MDR1"	" Validation vs Test"
8	0.0625	0.941181370674482	"Random"	"  MDR1"	" Validation vs Test"
9	0.0972222222222222	0.504120853489654	"Random"	"  MDR1"	" Validation vs Test"
10	0.0972222222222222	0.504120853489654	"Random"	"  MDR1"	" Validation vs Test"
11	0.0902777777777778	0.600256233825177	"Random"	"  MDR1"	" Validation vs Test"
12	0.125	0.210551632726012	"Random"	"  MDR1"	" Validation vs Test"
13	0.0902777777777778	0.600256233825177	"Random"	"  MDR1"	" Validation vs Test"
14	0.0972222222222222	0.504120853489654	"Random"	"  MDR1"	" Validation vs Test"
15	0.118055555555556	0.268144904972643	"Random"	"  MDR1"	" Validation vs Test"
16	0.0625	0.941181370674482	"Random"	"  MDR1"	" Validation vs Test"
17	0.0902777777777778	0.600256233825177	"Random"	"  MDR1"	" Validation vs Test"
18	0.166666666666667	0.036631052707119	"Random"	"  MDR1"	" Validation vs Test"
19	0.0972222222222222	0.504120853489654	"Random"	"  MDR1"	" Validation vs Test"
20	0.0763888888888889	0.794824122019366	"Random"	"  MDR1"	" Validation vs Test"
21	0.0972222222222222	0.504120853489654	"Random"	"  MDR1"	" Validation vs Test"
22	0.145833333333333	0.0935316745352757	"Random"	"  MDR1"	" Validation vs Test"
23	0.0694444444444444	0.878181604424589	"Random"	"  MDR1"	" Validation vs Test"
24	0.138888888888889	0.124323157394959	"Random"	"  MDR1"	" Validation vs Test"
25	0.0833333333333333	0.699374199935276	"Random"	"  MDR1"	" Validation vs Test"
26	0.0833333333333333	0.699374199935276	"Random"	"  MDR1"	" Validation vs Test"
27	0.118055555555556	0.268144904972643	"Random"	"  MDR1"	" Validation vs Test"
28	0.0763888888888889	0.794824122019366	"Random"	"  MDR1"	" Validation vs Test"
