"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
63	0.913712686567164	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff7"	"Y"	1.38888888888889
64	0.9934	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff6"	"N"	0
65	0.9934	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff6"	"Y"	0
68	0.966386554621849	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff5"	"N"	0
69	0.966386554621849	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff5"	"Y"	0
70	0.993875765529309	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff7"	"N"	0
71	0.993875765529309	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff7"	"Y"	0
72	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	"N"	2.08333333333333
73	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	"Y"	2.08333333333333
76	0.998147290412228	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff5"	"N"	2.08333333333333
77	0.998875140607424	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff5"	"Y"	2.08333333333333
78	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff7"	"N"	2.08333333333333
79	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff7"	"Y"	2.08333333333333
80	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff6"	"N"	0
81	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff6"	"Y"	0
84	0.99543795620438	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff5"	"N"	0
85	0.99543795620438	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff5"	"Y"	0
86	0.997929606625259	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff7"	"N"	0
87	0.997929606625259	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff7"	"Y"	0
88	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff6"	"N"	4.16666666666667
89	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff6"	"Y"	4.16666666666667
92	0.947157894736842	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff5"	"N"	4.16666666666667
93	0.922769230769231	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff5"	"Y"	4.16666666666667
94	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff7"	"N"	4.16666666666667
95	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff7"	"Y"	4.16666666666667
96	0.954225352112676	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff6"	"N"	2.75862068965517
97	0.987410071942446	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff6"	"Y"	2.75862068965517
100	0.940047961630696	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff5"	"N"	2.75862068965517
101	0.983812949640288	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff5"	"Y"	2.75862068965517
102	1	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff7"	"N"	2.75862068965517
103	1	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"cutoff7"	"Y"	2.75862068965517
104	0.995865633074936	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff6"	"N"	3.47222222222222
105	1	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff6"	"Y"	3.47222222222222
108	0.995741385985288	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff5"	"N"	3.47222222222222
109	0.996443089430894	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff5"	"Y"	3.47222222222222
110	0.940656565656566	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff7"	"N"	3.47222222222222
111	0.940944881889764	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff7"	"Y"	3.47222222222222
112	0.995196324143693	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff6"	"N"	0
113	0.995196324143693	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff6"	"Y"	0
116	0.947196620583717	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff5"	"N"	0
117	0.947196620583717	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff5"	"Y"	0
