"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
120	0.990604815032296	"AUROC"	"  MDR1"	"RF"	7	"Random"	"Cutoff value: 6"	"N"	0.694444444444444
124	0.961757105943152	"AUROC"	"  MDR1"	"RF"	7	"Random"	"Cutoff value: 5"	"N"	0.694444444444444
126	0.923295454545454	"AUROC"	"  MDR1"	"RF"	7	"Random"	"Cutoff value: 7"	"N"	0.694444444444444
128	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"Cutoff value: 6"	"N"	0
132	0.996927803379416	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"Cutoff value: 5"	"N"	0
134	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"Cutoff value: 7"	"N"	0
136	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"Cutoff value: 6"	"N"	2.08333333333333
140	0.972209356183418	"AUROC"	"  MDR1"	"RF"	8	"Random"	"Cutoff value: 5"	"N"	2.08333333333333
142	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"Cutoff value: 7"	"N"	2.08333333333333
144	0.984155844155844	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"Cutoff value: 6"	"N"	2.06896551724138
148	0.985235235235235	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"Cutoff value: 5"	"N"	2.06896551724138
150	0.96939736346516	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"Cutoff value: 7"	"N"	2.06896551724138
152	0.973367299675776	"AUROC"	"  MDR1"	"RF"	9	"Random"	"Cutoff value: 6"	"N"	4.86111111111111
156	0.917361111111111	"AUROC"	"  MDR1"	"RF"	9	"Random"	"Cutoff value: 5"	"N"	4.86111111111111
158	0.91440329218107	"AUROC"	"  MDR1"	"RF"	9	"Random"	"Cutoff value: 7"	"N"	4.86111111111111
160	0.989963503649635	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"Cutoff value: 6"	"N"	7.58620689655172
164	0.967692307692308	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"Cutoff value: 5"	"N"	7.58620689655172
166	1	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"Cutoff value: 7"	"N"	7.58620689655172
168	0.98062015503876	"AUROC"	"  MDR1"	"RF"	10	"Random"	"Cutoff value: 6"	"N"	1.38888888888889
172	0.974293654469662	"AUROC"	"  MDR1"	"RF"	10	"Random"	"Cutoff value: 5"	"N"	1.38888888888889
174	1	"AUROC"	"  MDR1"	"RF"	10	"Random"	"Cutoff value: 7"	"N"	1.38888888888889
