"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
177	0.98804347826087	"AUROC"	"  MDR1"	"RF"	11	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
184	0.973643410852713	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff6"	" Original"	5.55555555555556
185	0.996825396825397	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff6"	"Edge Cases Removed"	5.55555555555556
192	0.825273722627737	"AUROC"	"  MDR1"	"RF"	12	" Scaffold"	"cutoff6"	" Original"	7.58620689655172
193	0.683206106870229	"AUROC"	"  MDR1"	"RF"	12	" Scaffold"	"cutoff6"	"Edge Cases Removed"	7.58620689655172
200	0.94140625	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff6"	" Original"	6.25
201	0.923020527859238	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff6"	"Edge Cases Removed"	6.25
208	0.15625	"AUROC"	"  MDR1"	"RF"	13	" Scaffold"	"cutoff6"	" Original"	0
209	0.15625	"AUROC"	"  MDR1"	"RF"	13	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
216	0.9921875	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff6"	" Original"	3.47222222222222
217	0.993714285714286	"AUROC"	"  MDR1"	"RF"	13	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
224	0.824979114452799	"AUROC"	"  MDR1"	"RF"	14	" Scaffold"	"cutoff6"	" Original"	12.4137931034483
225	0.944915254237288	"AUROC"	"  MDR1"	"RF"	14	" Scaffold"	"cutoff6"	"Edge Cases Removed"	12.4137931034483
232	0.976119402985075	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff6"	" Original"	2.08333333333333
233	0.977862595419847	"AUROC"	"  MDR1"	"RF"	14	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
240	0.945736434108527	"AUROC"	"  MDR1"	"RF"	15	" Scaffold"	"cutoff6"	" Original"	0
241	0.945736434108527	"AUROC"	"  MDR1"	"RF"	15	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
248	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff6"	" Original"	5.55555555555556
249	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"cutoff6"	"Edge Cases Removed"	5.55555555555556
256	0.90962441314554	"AUROC"	"  MDR1"	"RF"	16	" Scaffold"	"cutoff6"	" Original"	0
257	0.90962441314554	"AUROC"	"  MDR1"	"RF"	16	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
264	0.999316473000684	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff6"	" Original"	2.08333333333333
265	1	"AUROC"	"  MDR1"	"RF"	16	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
272	0.996296296296296	"AUROC"	"  MDR1"	"RF"	17	" Scaffold"	"cutoff6"	" Original"	1.37931034482759
273	0.996683250414594	"AUROC"	"  MDR1"	"RF"	17	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
280	0.907835820895522	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff6"	" Original"	5.55555555555556
281	0.857051282051282	"AUROC"	"  MDR1"	"RF"	17	"Random"	"cutoff6"	"Edge Cases Removed"	5.55555555555556
288	0.99874686716792	"AUROC"	"  MDR1"	"RF"	18	" Scaffold"	"cutoff6"	" Original"	5.51724137931035
289	1	"AUROC"	"  MDR1"	"RF"	18	" Scaffold"	"cutoff6"	"Edge Cases Removed"	5.51724137931035
296	0.993406593406593	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff6"	" Original"	3.47222222222222
297	0.993438320209974	"AUROC"	"  MDR1"	"RF"	18	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
304	0.992319508448541	"AUROC"	"  MDR1"	"RF"	19	" Scaffold"	"cutoff6"	" Original"	4.82758620689655
305	0.99537037037037	"AUROC"	"  MDR1"	"RF"	19	" Scaffold"	"cutoff6"	"Edge Cases Removed"	4.82758620689655
312	0.990273274664196	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff6"	" Original"	4.16666666666667
313	0.991803278688525	"AUROC"	"  MDR1"	"RF"	19	"Random"	"cutoff6"	"Edge Cases Removed"	4.16666666666667
320	0.944111232279171	"AUROC"	"  MDR1"	"RF"	20	" Scaffold"	"cutoff6"	" Original"	4.13793103448276
321	0.927519379844961	"AUROC"	"  MDR1"	"RF"	20	" Scaffold"	"cutoff6"	"Edge Cases Removed"	4.13793103448276
328	0.970643939393939	"AUROC"	"  MDR1"	"RF"	20	"Random"	"cutoff6"	" Original"	2.08333333333333
329	0.979007633587786	"AUROC"	"  MDR1"	"RF"	20	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
336	0.899592944369064	"AUROC"	"  MDR1"	"RF"	21	" Scaffold"	"cutoff6"	" Original"	1.37931034482759
337	0.908270676691729	"AUROC"	"  MDR1"	"RF"	21	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
344	0.984145625367	"AUROC"	"  MDR1"	"RF"	21	"Random"	"cutoff6"	" Original"	3.47222222222222
345	0.984375	"AUROC"	"  MDR1"	"RF"	21	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
352	0.781428571428571	"AUROC"	"  MDR1"	"RF"	22	" Scaffold"	"cutoff6"	" Original"	1.37931034482759
