"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1.29229610567306e-05	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.636140685770246	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.147372859549065	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.0194944097069431	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.231096746690771	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000710141785345457	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.554267836324318	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.219782260816141	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.231096746690771	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	8.93338459269216e-05	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.293858729054122	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000144931382771462	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1.29229610567306e-05	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000710141785345457	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	8.93338459269216e-05	"ranksums"	"<0.05"
